class,count
Lemon___diseased,53
Chinar___healthy,72
Bael___diseased,81
Chinar___diseased,84
Jatropha___diseased,86
Jatropha___healthy,93
Gauva___diseased,98
Basil___healthy_(P8),102
Lemon___healthy,111
Mango___healthy,118
Alstonia_Scholaris___healthy,124
Arjun___healthy,154
Arjun___diseased,162
Alstonia_Scholaris___diseased,177
Mango___diseased,185
Pomegranate___diseased,189
Pongamia_Pinnata___diseased,192
Gauva___healthy,193
Jamun___healthy,194
Pomegranate___healthy,200
Pongamia_Pinnata___healthy,225
Jamun___diseased,241
